"File","correct_letter","literal_letter","literal_source_column","humor_style","humor_style_secondary","contextual_knowledge","contextual_knowledge_secondary","correct_answer_char_len","data_quality_flags","sheet_row"
"1lejj62","C","D","Exp1","Exaggeration","Surprise","Pop culture","Hobby","155","","300"
"1cb769r","B","C","Exp1","Sarcasm/Irony","Comparison","Hobby","Social conventions","228","","301"
"15aafk0","A","C","Exp2","Sarcasm/Irony","Comparison","Pop culture","politics","1245","","302"
"17aswoo","A","D","Exp2","Incongruity","Surprise","meme","Pop culture","154","","303"
"1lh0gn3","A","D","Exp1","Sarcasm/Irony","Situational","meme","politics","85","","304"
"1h779tg","A","C","Exp1","Comparison","Exaggeration","Pop culture","Hobby","90","","305"
"1ftatdh","B","D","Exp2","Exaggeration","Comparison","History/Mythology","General knowledge","291","","306"
"1hwftqw","B","A","Exp3","Dark Humor","Situational","meme","Technical","537","","307"
"186tj6c","A","C","Exp3","Wordplay","Dark Humor","Technical","General knowledge","155","","308"
"1hqjjs0","A","B","Exp1","Surprise","Dark Humor","Pop culture","Hobby","1377","","309"
"1mwbbsw","A","C","Exp3","Wordplay","Sarcasm/Irony","Logical","General knowledge","201","","310"
"1h03n16","A","D","Exp2","Incongruity","Surprise","Technical","General knowledge","557","","311"
"1b5u72j","C","D","Exp3","Exaggeration","Comparison","meme","Pop culture","543","","312"
"1kdp49k","D","B","Exp2","Incongruity","Comparison","Social conventions","General knowledge","87","","313"
"1kyy4wf","B","A","Exp1","Incongruity","Exaggeration","politics","General knowledge","83","","314"
"1j5stzi","D","A","Exp1","Incongruity","Exaggeration","meme","Hobby","200","","315"
"1n8xv5g","A","D","Exp1","Surprise","Dark Humor","politics","Social conventions","182","","316"
"1gmxl68","B","C","Exp3","Exaggeration","Comparison","General knowledge","Logical","217","","317"
"1iu9i31","C","A","Exp2","Dark Humor","Surprise","meme","General knowledge","147","wrapping_quotes_stripped","318"
"1ftdy3c","D","B","Exp3","Surprise","Sarcasm/Irony","Logical","Social conventions","83","wrapping_quotes_stripped","319"
"1lt2euq","D","A","Exp1","Exaggeration","Sarcasm/Irony","Pop culture","Social conventions","217","wrapping_quotes_stripped","320"
"1gp5i8t","D","A","Exp2","Exaggeration","Sarcasm/Irony","General knowledge","Social conventions","301","wrapping_quotes_stripped","321"
"1j6bl5f","D","A","Exp3","Comparison","Exaggeration","Hobby","Pop culture","52","wrapping_quotes_stripped","322"
"1iz5ool","A","C","Exp3","Dark Humor","Situational","politics","Technical","125","","323"
"1kfloer","D","A","Exp2","Surprise","Incongruity","Logical","General knowledge","50","","324"
"1l3sh3k","B","A","Exp2","Situational","Sarcasm/Irony","Pop culture","Social conventions","146","","325"
"1kbvz8k","C","D","Exp2","Situational","Incongruity","General knowledge","Social conventions","288","","326"
"1llqmsk","C","unknown","","Surprise","Sarcasm/Irony","History/Mythology","General knowledge","149","duplicate_options;literal_no_match;wrapping_quotes_stripped","327"
"1i5ptep","C","A","Exp2","Situational","Comparison","Social conventions","General knowledge","140","","328"
"1jwed8c","B","C","Exp1","Surprise","Situational","meme","Pop culture","49","","329"
"1lavhpu","D","A","Exp3","Exaggeration","Comparison","History/Mythology","Social conventions","941","wrapping_quotes_stripped","330"
"1mh20fz","C","A","Exp3","Surprise","Comparison","Hobby","Pop culture","570","","331"
"1irhq9q","D","B","Exp3","Sarcasm/Irony","Dark Humor","Hobby","Social conventions","148","","332"
"1iu9a7u","C","D","Exp3","Situational","Surprise","Hobby","Logical","215","","333"
"1c7z583","D","B","Exp3","Dark Humor","Comparison","Technical","General knowledge","108","wrapping_quotes_stripped","334"
"1j8se9s","A","B","Exp3","Exaggeration","Comparison","General knowledge","Logical","164","","335"
"1l45vl2","A","B","Exp1","Situational","Comparison","Logical","General knowledge","328","","336"
"1j7llre","D","C","Exp1","Comparison","Dark Humor","Logical","General knowledge","384","","337"
"1kgwdyt","C","D","Exp3","Situational","Dark Humor","Logical","Social conventions","176","","338"
"1k0nmen","B","D","Exp2","Comparison","Wordplay","meme","Hobby","217","","339"
"1kyo5pv","A","D","Exp1","Comparison","Situational","Hobby","Social conventions","649","wrapping_quotes_stripped","340"
"1krtkl7","D","A","Exp3","Situational","Comparison","Social conventions","General knowledge","184","wrapping_quotes_stripped","341"
"1fhormb","A","D","Exp3","Surprise","Incongruity","Hobby","Technical","162","wrapping_quotes_stripped","342"
"1iw106j","C","unknown","","Comparison","Exaggeration","Pop culture","Social conventions","219","literal_no_match;wrapping_quotes_stripped","343"
"1ikp7ob","B","C","Exp1","Sarcasm/Irony","Incongruity","Social conventions","Pop culture","86","","344"
"1iizrp4","C","B","Exp3","Wordplay","Sarcasm/Irony","politics","History/Mythology","83","wrapping_quotes_stripped","345"
"1jgbtbp","A","B","Exp2","Incongruity","Sarcasm/Irony","History/Mythology","Logical","212","wrapping_quotes_stripped","346"
"1kse8n2","C","D","Exp2","Comparison","Situational","Pop culture","Hobby","16","","347"
"1dgwejg","B","D","Exp1","Comparison","Exaggeration","Social conventions","History/Mythology","128","","348"
"1hhkhlc","D","C","Exp1","Comparison","Exaggeration","General knowledge","Logical","131","wrapping_quotes_stripped","349"
"1l5ixzd","B","C","Exp1","Situational","Surprise","Logical","General knowledge","161","wrapping_quotes_stripped","350"
"1jmzzco","A","C","Exp2","Sarcasm/Irony","Exaggeration","meme","Pop culture","73","wrapping_quotes_stripped","351"
"1jx5y8q","D","B","Exp3","Situational","Exaggeration","Logical","Social conventions","255","wrapping_quotes_stripped","352"
"1jeeg3m","C","A","Exp2","Surprise","Situational","Pop culture","Hobby","623","wrapping_quotes_stripped","353"
"1mngo9t","C","A","Exp1","Situational","Incongruity","Pop culture","Hobby","17","","354"
"1knbdga","C","A","Exp2","Surprise","Situational","Technical","General knowledge","299","wrapping_quotes_stripped","355"
"1grd05j","B","D","Exp1","Comparison","Incongruity","Social conventions","History/Mythology","318","wrapping_quotes_stripped","356"
"1fy9pjo","A","C","Exp2","Dark Humor","Exaggeration","General knowledge","History/Mythology","191","wrapping_quotes_stripped","357"
"1jfnlgd","A","D","Exp1","Dark Humor","Sarcasm/Irony","Social conventions","Logical","50","wrapping_quotes_stripped","358"
"1kafv5j","A","D","Exp3","Dark Humor","Exaggeration","Pop culture","Hobby","228","wrapping_quotes_stripped","359"
"1d7x2rg","C","A","Exp2","Situational","Comparison","Logical","Social conventions","573","","360"
"1jp8wst","D","B","Exp1","Dark Humor","Situational","History/Mythology","General knowledge","251","wrapping_quotes_stripped","361"
"1kw2p1y","C","D","Exp3","Surprise","Exaggeration","Logical","Social conventions","69","wrapping_quotes_stripped","362"
"1k27mne","A","B","Exp2","Dark Humor","Exaggeration","Hobby","Logical","368","wrapping_quotes_stripped","363"
"1duiywi","C","A","Exp2","Incongruity","Incongruity","Technical","Logical","731","","364"
"1jzk0f2","D","B","Exp2","Situational","Sarcasm/Irony","Pop culture","General knowledge","148","","365"
"1l6ov5y","C","A","Exp3","Situational","Comparison","Hobby","meme","287","wrapping_quotes_stripped","366"
"1d5bxcu","B","C","Exp2","Dark Humor","Incongruity","meme","General knowledge","404","wrapping_quotes_stripped","367"
"1fvg71d","B","A","Exp1","Comparison","Sarcasm/Irony","History/Mythology","General knowledge","463","encoding_repaired;encoding_unrecoverable;wrapping_quotes_stripped","368"
"1j25t67","B","D","Exp3","Wordplay","Comparison","meme","Pop culture","59","wrapping_quotes_stripped","369"
"1jipmfo","D","A","Exp3","Surprise","Situational","Hobby","Logical","30","encoding_repaired;encoding_unrecoverable","370"
"1fl51f0","B","D","Exp2","Surprise","Situational","Social conventions","Logical","92","wrapping_quotes_stripped","371"
"1kxmxbf","C","D","Exp3","Exaggeration","Comparison","History/Mythology","Social conventions","248","wrapping_quotes_stripped","372"
"1kpsba8","A","C","Exp3","Situational","Exaggeration","Social conventions","General knowledge","115","wrapping_quotes_stripped","373"
"1klgmos","D","C","Exp2","Exaggeration","Comparison","General knowledge","Logical","474","wrapping_quotes_stripped","374"
"1jk2lgw","C","D","Exp2","Sarcasm/Irony","Situational","meme","Social conventions","297","","375"
"1jpmmd9","C","A","Exp3","Wordplay","Surprise","Social conventions","General knowledge","69","wrapping_quotes_stripped","376"
"1j0k484","D","B","Exp3","Wordplay","Comparison","Technical","General knowledge","318","encoding_repaired;encoding_unrecoverable;wrapping_quotes_stripped","377"
"1jtq5lb","B","D","Exp1","Wordplay","Situational","General knowledge","meme","175","wrapping_quotes_stripped","378"
"1lbduvg","D","A","Exp2","Comparison","Exaggeration","Hobby","Pop culture","44","wrapping_quotes_stripped","379"
"1g41h0e","D","A","Exp1","Surprise","Comparison","Technical","meme","667","wrapping_quotes_stripped","380"
"1kjzqgk","D","A","Exp2","Situational","Comparison","Hobby","General knowledge","120","wrapping_quotes_stripped","381"
"1mxibps","B","A","Exp3","Comparison","Situational","Pop culture","Hobby","149","wrapping_quotes_stripped","382"
"1c4n4xd","B","A","Exp1","Situational","Situational","Logical","Social conventions","233","wrapping_quotes_stripped","383"
"1m4ns1d","B","D","Exp1","Comparison","Situational","Technical","General knowledge","482","wrapping_quotes_stripped","384"
"1ljwpph","A","D","Exp2","Wordplay","Situational","General knowledge","Logical","57","literal_paraphrased;wrapping_quotes_stripped","385"
"1kczb4x","C","A","Exp3","Exaggeration","Comparison","Social conventions","General knowledge","396","encoding_repaired;wrapping_quotes_stripped","386"
"1mcgb86","C","unknown","","Situational","Comparison","Social conventions","General knowledge","241","literal_no_match;wrapping_quotes_stripped","387"
"1i7iklj","C","D","Exp3","Situational","Dark Humor","Technical","General knowledge","85","encoding_repaired;encoding_unrecoverable;wrapping_quotes_stripped","388"
"18lkyqa","C","B","Exp2","Exaggeration","Comparison","Social conventions","General knowledge","85","","389"
"1kmjd7k","B","D","Exp3","Incongruity","Comparison","Pop culture","politics","48","encoding_repaired;wrapping_quotes_stripped","390"
"1j6w01m","A","C","Exp3","Situational","Dark Humor","Technical","General knowledge","105","wrapping_quotes_stripped","391"
"1itmj5l","B","A","Exp3","Situational","Dark Humor","Technical","General knowledge","70","encoding_repaired;encoding_unrecoverable;wrapping_quotes_stripped","392"
"1d11llv","D","A","Exp3","Situational","Exaggeration","Social conventions","General knowledge","176","wrapping_quotes_stripped","393"
"1dap4il","A","C","Exp3","Dark Humor","Situational","Pop culture","General knowledge","197","wrapping_quotes_stripped","394"
"1mcy7yd","A","D","Exp3","Comparison","Wordplay","Social conventions","General knowledge","129","wrapping_quotes_stripped","395"
"1g2fiqh","C","D","Exp3","Situational","Comparison","meme","meme","325","wrapping_quotes_stripped","396"
"1itwe3y","D","A","Exp3","Situational","Dark Humor","Technical","politics","476","encoding_repaired;wrapping_quotes_stripped","397"
"1l8fcur","A","C","Exp3","Dark Humor","Comparison","Social conventions","General knowledge","115","encoding_repaired;encoding_unrecoverable;wrapping_quotes_stripped","398"
"1jbg4m6","B","A","Exp1","Situational","Comparison","Hobby","General knowledge","51","wrapping_quotes_stripped","399"
"1lc0zi5","B","C","Exp1","Exaggeration","Comparison","Technical","General knowledge","49","encoding_repaired;wrapping_quotes_stripped","400"
"1lyfboo","D","C","Exp2","Situational","Incongruity","Pop culture","Social conventions","198","wrapping_quotes_stripped","401"
"1dhtsjq","A","B","Exp2","Exaggeration","Comparison","Pop culture","meme","273","wrapping_quotes_stripped","402"
"1k60lga","D","C","Exp3","Dark Humor","Sarcasm/Irony","Social conventions","Logical","61","encoding_repaired;wrapping_quotes_stripped","403"
"1hevxkv","D","C","Exp3","Surprise","Situational","Social conventions","General knowledge","157","encoding_repaired;encoding_unrecoverable;wrapping_quotes_stripped","404"
"1jkt7ig","C","A","Exp3","Exaggeration","Comparison","Social conventions","General knowledge","179","wrapping_quotes_stripped","405"
"1irf9u4","C","D","Exp2","Situational","Comparison","meme","politics","104","wrapping_quotes_stripped","406"
"1m8nhhl","B","D","Exp1","Situational","Comparison","Social conventions","History/Mythology","163","wrapping_quotes_stripped","407"
"1m015wk","C","A","Exp3","Comparison","Sarcasm/Irony","Social conventions","politics","95","","408"
"1lv6b82","A","D","Exp2","Situational","Exaggeration","Social conventions","politics","246","encoding_repaired;wrapping_quotes_stripped","409"
"1ieb7j3","D","C","Exp1","Surprise","Dark Humor","meme","Hobby","127","encoding_repaired;encoding_unrecoverable;wrapping_quotes_stripped","410"
"1d9ip08","A","B","Exp3","Comparison","Exaggeration","Hobby","Social conventions","575","","411"
"1jy5h3e","C","D","Exp2","Sarcasm/Irony","Comparison","Technical","Pop culture","167","","412"
"1kozyll","D","B","Exp3","Comparison","Situational","Pop culture","Social conventions","122","","413"
"1ic88xs","B","C","Exp1","Surprise","Situational","Logical","General knowledge","95","","414"
"1jhad2m","A","D","Exp1","Incongruity","Exaggeration","Hobby","Logical","599","","415"
"1bhaz0e","C","A","Exp1","Dark Humor","Comparison","politics","General knowledge","315","","416"
"1ka6jiq","C","D","Exp1","Exaggeration","Exaggeration","Social conventions","General knowledge","339","","417"
"1i6a88o","A","D","Exp3","Sarcasm/Irony","Dark Humor","meme","Social conventions","141","","418"
"188hmpb","B","C","Exp1","Wordplay","Comparison","General knowledge","Social conventions","26","","419"
"1hudgc9","A","B","Exp2","Sarcasm/Irony","Comparison","Hobby","General knowledge","58","","420"
"1fq1qb9","B","C","Exp1","Wordplay","Comparison","Logical","General knowledge","59","","421"
"1lkox24","B","D","Exp1","Exaggeration","Comparison","Pop culture","Hobby","625","","422"
"1hdbees","D","B","Exp1","Wordplay","Situational","Technical","General knowledge","60","","423"
"15upbjf","D","A","Exp3","Incongruity","Comparison","Technical","History/Mythology","264","","424"
"1e3q5dd","A","B","Exp3","Comparison","Situational","meme","Pop culture","742","","425"
"1hph3za","D","A","Exp2","Incongruity","Exaggeration","meme","Social conventions","290","","426"
"1bazqft","B","D","Exp1","Wordplay","Dark Humor","History/Mythology","General knowledge","163","","427"
"16uuwk3","D","A","Exp2","Sarcasm/Irony","Situational","meme","Pop culture","144","","428"
"1m61khr","A","B","Exp1","Dark Humor","Sarcasm/Irony","History/Mythology","Social conventions","108","","429"
"1muan3i","C","A","Exp3","Surprise","Comparison","General knowledge","Social conventions","66","","430"
"1g8raiu","D","B","Exp1","Incongruity","Surprise","meme","Hobby","90","","431"
"16h1wrg","B","A","Exp1","Wordplay","Comparison","Technical","General knowledge","76","","432"
"1d0nows","A","B","Exp1","Dark Humor","Comparison","Pop culture","General knowledge","311","","433"
"16zvi3l","A","C","Exp3","Surprise","Comparison","Pop culture","General knowledge","105","","434"
"1fcm1zb","A","C","Exp2","Wordplay","Comparison","Social conventions","Pop culture","113","","435"
"1l0pn3b","B","C","Exp1","Exaggeration","Situational","Social conventions","General knowledge","333","","436"
"193it8r","B","A","Exp1","Surprise","Comparison","History/Mythology","General knowledge","343","","437"
"1dk358k","D","A","Exp1","Wordplay","Surprise","Pop culture","Social conventions","76","","438"
"1ixuiml","B","D","Exp1","Surprise","Sarcasm/Irony","Social conventions","General knowledge","103","","439"
"1hh0vwh","B","D","Exp1","Wordplay","Sarcasm/Irony","General knowledge","Social conventions","128","","440"
"15a2flm","D","C","Exp2","Dark Humor","Situational","General knowledge","Social conventions","157","","441"
"1jd57jt","C","A","Exp1","Sarcasm/Irony","Exaggeration","Hobby","General knowledge","323","","442"
"1eerszi","A","D","Exp1","Incongruity","Comparison","Pop culture","meme","434","","443"
"1ex2gnv","D","A","Exp3","Incongruity","Exaggeration","meme","Pop culture","354","","444"
"1n6ohcl","A","C","Exp1","Sarcasm/Irony","Dark Humor","Technical","History/Mythology","691","","445"
"1kc6xta","C","B","Exp1","Comparison","Situational","meme","Pop culture","682","","446"
"1mk8rnt","A","D","Exp1","Dark Humor","Exaggeration","Pop culture","meme","115","","447"
"1bojwn9","D","B","Exp3","Incongruity","Exaggeration","Social conventions","General knowledge","121","","448"
"1m68ug3","B","A","Exp1","Exaggeration","Surprise","History/Mythology","General knowledge","368","","449"
"1aqy5m7","A","B","Exp1","Incongruity","Comparison","General knowledge","politics","190","","450"
"1jg3hi7","B","D","Exp3","Incongruity","Dark Humor","Pop culture","Hobby","100","","451"
"1isy4zt","D","C","Exp2","Wordplay","Situational","General knowledge","Hobby","121","","452"
"19egkxy","C","D","Exp3","Comparison","Sarcasm/Irony","Logical","Social conventions","970","","453"
"1gboomw","D","C","Exp1","Dark Humor","Situational","Technical","politics","117","","454"
"1jjvw9a","A","C","Exp1","Sarcasm/Irony","Comparison","History/Mythology","Technical","82","","455"
"1kcxst1","B","D","Exp3","Surprise","Comparison","History/Mythology","meme","524","","456"
"1jj9t5b","A","B","Exp2","Dark Humor","Dark Humor","General knowledge","Social conventions","273","","457"
"1jaf822","A","D","Exp3","Surprise","Dark Humor","Technical","General knowledge","268","","458"
"1k9sq1s","A","C","Exp2","Dark Humor","Sarcasm/Irony","General knowledge","Social conventions","142","","459"
"1jm74by","C","D","Exp3","Comparison","Exaggeration","General knowledge","Social conventions","89","","460"
"1cvso6z","A","B","Exp1","Wordplay","Situational","meme","Social conventions","1568","","461"
"1efztwz","A","C","Exp3","Wordplay","Situational","Social conventions","General knowledge","107","","462"
"1lfy05f","B","C","Exp1","Sarcasm/Irony","Situational","General knowledge","Social conventions","373","","463"
"15oof8t","C","D","Exp2","Incongruity","Surprise","meme","Pop culture","361","","464"
"1e8xy5s","D","B","Exp1","Dark Humor","Situational","Social conventions","General knowledge","109","","465"
"1918ki4","A","D","Exp3","Dark Humor","Situational","Social conventions","General knowledge","1360","","466"
"1ap3qmt","C","B","Exp1","Incongruity","Comparison","Pop culture","History/Mythology","176","","467"
"1d670z1","A","C","Exp1","Wordplay","Situational","General knowledge","Social conventions","216","","468"
"1aexlbt","C","D","Exp3","Wordplay","Situational","Technical","Hobby","927","","469"
"1m5qq8q","D","B","Exp3","Comparison","Situational","Pop culture","meme","35","","470"
"1moj7hc","D","C","Exp3","Dark Humor","Wordplay","History/Mythology","General knowledge","69","","471"
"174k7i0","A","D","Exp2","Incongruity","Situational","Technical","Logical","315","","472"
"1lqpazn","B","C","Exp1","Surprise","Incongruity","History/Mythology","Technical","154","","473"
"1ms7hs4","B","A","Exp1","Dark Humor","Surprise","Technical","Hobby","405","","474"
"1j7mzha","B","D","Exp1","Dark Humor","Comparison","History/Mythology","politics","589","","475"
"1i6ymv5","A","D","Exp1","Sarcasm/Irony","Comparison","Social conventions","meme","89","","476"
"1h9qk3m","B","C","Exp2","Dark Humor","Sarcasm/Irony","General knowledge","Social conventions","116","","477"
"1jcvxw6","C","B","Exp3","Dark Humor","Exaggeration","General knowledge","Social conventions","118","","478"
"18d37io","B","C","Exp1","Wordplay","Situational","Logical","Social conventions","71","","479"
"1iuuulu","B","C","Exp1","Incongruity","Comparison","Hobby","General knowledge","80","","480"
"1jvfqgq","B","A","Exp1","Dark Humor","Wordplay","politics","General knowledge","139","","481"
"164v3oo","C","B","Exp1","Surprise","Situational","Logical","General knowledge","115","","482"
"1n68buk","B","A","Exp3","Exaggeration","Comparison","Hobby","meme","9","","483"
"1lq3p3j","D","C","Exp3","Dark Humor","Situational","Social conventions","General knowledge","246","","484"
"1ip0ht2","B","C","Exp1","Exaggeration","Comparison","Hobby","meme","199","","485"
"1khvtur","B","C","Exp2","Exaggeration","Dark Humor","Hobby","meme","59","","486"
"18ae5ry","A","B","Exp3","Wordplay","Sarcasm/Irony","General knowledge","Logical","382","","487"
"1isa49u","D","B","Exp1","Wordplay","Dark Humor","History/Mythology","politics","139","","488"
"1jvn2sr","C","B","Exp3","Dark Humor","Situational","Technical","General knowledge","49","","489"
"1eilsjt","A","B","Exp1","Incongruity","Incongruity","General knowledge","Social conventions","355","","490"
"1fjfblb","C","A","Exp1","Exaggeration","Comparison","Pop culture","Hobby","147","","491"
"16k7baz","A","C","Exp2","Dark Humor","Sarcasm/Irony","Social conventions","Pop culture","154","","492"
"15gdv3c","B","D","Exp1","Dark Humor","Sarcasm/Irony","General knowledge","Logical","18","","493"
"1ajx3sn","B","A","Exp3","Wordplay","Comparison","Pop culture","Hobby","66","","494"
"1cynp2h","A","C","Exp3","Sarcasm/Irony","Exaggeration","Pop culture","Pop culture","1239","","495"
"19bj5k2","A","C","Exp1","Sarcasm/Irony","Exaggeration","General knowledge","Pop culture","98","","496"
"1l79lv3","D","B","Exp1","Dark Humor","Situational","Hobby","meme","130","","497"
"16db363","C","A","Exp1","Sarcasm/Irony","Exaggeration","Pop culture","Social conventions","193","","498"
"16l57ay","B","A","Exp3","Wordplay","Exaggeration","History/Mythology","Social conventions","102","","499"
"1df3nh8","D","B","Exp2","Dark Humor","Comparison","History/Mythology","politics","127","","500"
"1haf45x","C","B","Exp1","Sarcasm/Irony","Sarcasm/Irony","General knowledge","Social conventions","28","","501"
"1fzh8sa","C","A","Exp3","Sarcasm/Irony","Comparison","Pop culture","Social conventions","685","wrapping_quotes_stripped","502"
"1ijv4xn","A","B","Exp1","Wordplay","Situational","General knowledge","meme","194","","503"
